Country,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Mali,0.51,0.0,-0.1,0.0,0.0,0.0,0.0,0.19
Mexico,0.0,0.5,0.71,0.0,-0.47,0.0,0.0,0.0
Morocco,0.0,0.0,0.16,0.11,0.11,0.0,0.0,0.0
Mozambique,-0.48,0.0,0.53,-0.38,-0.22,0.0,0.0,0.63
Nepal,0.0,-0.28,0.36,-0.31,0.32,0.0,0.01,0.0
Netherlands,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0
New Zealand,-0.33,-0.2,0.45,0.0,-0.35,0.33,0.36,0.0
Nicaragua,0.15,0.38,-0.24,0.0,-0.22,0.0,0.0,-0.52
Niger,0.18,0.0,-0.63,0.0,0.0,0.0,0.0,-0.44
Nigeria,0.0,0.0,-0.55,0.0,-0.39,0.0,0.0,0.04
Norway,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
Oman,0.0,0.0,0.62,0.0,0.03,0.0,0.0,0.0
Pakistan,0.36,-0.19,-0.74,-0.45,0.47,0.0,0.0,0.25
Panama,-0.28,0.0,-0.29,0.0,0.38,0.0,0.0,0.0
Paraguay,-0.68,0.0,0.01,0.0,-0.41,0.0,0.23,0.43
Peru,0.0,-0.08,0.02,0.37,0.0,0.0,0.0,-0.48
Philippines,0.41,0.19,-0.65,-0.12,-0.14,0.37,0.0,0.01
Poland,0.0,0.0,0.3,0.0,-0.01,0.0,0.0,0.0
Portugal,0.0,0.0,-0.39,0.0,0.16,0.0,0.12,0.0
Qatar,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
Romania,0.0,0.0,0.01,0.0,0.25,0.0,0.0,0.0
Russia,-0.38,0.0,-0.52,0.0,0.23,0.0,-0.24,-0.41
Rwanda,0.0,0.0,0.13,-0.11,-0.85,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.24,0.0,-0.07,0.0,0.0,0.0
Senegal,-0.0,0.0,-0.46,0.0,0.0,0.0,0.0,0.0
Serbia,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0
Sierra Leone,0.0,0.0,0.42,0.28,0.0,0.0,0.0,-0.47
Singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,0.31,-0.16,0.28,0.0,0.14,0.0,0.21,0.0
South Korea,0.0,0.35,0.2,0.0,0.05,0.0,0.14,-0.25
Spain,0.0,0.0,-0.22,0.0,0.39,0.0,-0.66,0.0
Sudan,-0.21,0.0,0.19,0.0,0.0,0.0,0.0,0.29
Sweden,0.0,0.0,0.0,0.0,-0.38,0.0,0.31,0.0
Switzerland,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0
Tajikistan,0.0,-0.52,-0.11,-0.15,0.0,0.0,0.0,0.0
Tanzania,0.0,0.53,0.35,0.0,0.3,0.0,0.0,0.34
Thailand,-0.14,-0.22,0.12,0.0,0.42,0.0,0.0,0.0
Togo,0.0,0.0,0.32,0.0,0.0,0.0,0.0,-0.01
Tunisia,0.0,0.0,0.48,0.0,0.0,0.0,0.27,0.0
Turkey,0.0,-0.1,-0.14,-0.39,0.36,0.0,0.0,0.0
Uganda,0.0,0.41,-0.26,0.14,-0.32,0.0,0.0,-0.73
United Arab Emirates,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
United Kingdom,0.0,0.0,-0.7,0.0,0.05,0.0,0.0,0.0
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.4,0.0,-0.16,0.0,0.39,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0
